Fecha,Hora,Latitud,Longitud,Profundidad,Magnitud,,,,,,,
08/09/2014,09:56:00,20.4905,-70.4576,49.59,3.26,,,,,,,
02/07/2014,02:32:44,20.4761,-70.931,29.2,3.42,,,,,,,
23/01/2014,02:24:30,20.4397,-70.541,81.26,3.16,,,,,,,    
23/05/2014,13:54:49,20.4326,-70.356,7.94,3.47,,,,,,,
30/10/2014,21:51:00,20.3851,-70.4396,33.27,3.28,,,,,,,
08/09/2014,10:10:00,20.3501,-70.2925,10.68,2.97,,,,,,,    
07/04/2014,03:14:17,20.3408,-70.703,33.94,3.83,,,,,,,
14/07/2014,01:23:37,20.317,-70.369,57.91,2.99,,,,,,,
04/07/2014,11:13:25,20.2905,-70.629,64.93,2.93,,,,,,,    
09/05/2014,01:29:48,20.277,-70.615,32.23,3.37,,,,,,,
20/08/2014,02:43:20,20.2741,-70.925,2,3.48,,,,,,,
29/12/2014,23:51:00,20.263,-70.207,20.06,2.9,,,,,,,
09/04/2014,09:32:03,20.2205,-72.213,70.89,3.44,,,,,,,
04/07/2014,04:21:43,20.1991,-70.275,44.19,3.23,,,,,,,
11/07/2014,00:24:00,20.1853,-71.818,2,3.72,,,,,,,
27/04/2014,08:19:44,20.1792,-71.672,37.24,3.16,,,,,,,
31/08/2014,20:15:00,20.1788,-70.3401,5.76,3.25,,,,,,,    
07/05/2014,08:53:49,20.1757,-70.616,18.53,3.08,,,,,,,
06/03/2014,04:19:26,20.1663,-70.206,28.32,3.26,,,,,,,
17/02/2014,10:24:43,20.1387,-70.619,0.67,3.54,,,,,,,
06/05/2014,00:24:09,20.1283,-70.858,3,3.16,,,,,,,
01/09/2014,15:55:00,20.1166,-70.2763,108.21,3.45,,,,,,,
01/12/2014,13:56:00,20.1158,-71.4805,35.9,3.06,,,,,,,
08/06/2014,08:16:35,20.1151,-70.865,28.57,3.03,,,,,,,    
15/07/2014,20:21:31,20.101,-72.279,76.27,3.81,,,,,,,
07/05/2014,22:36:12,20.0893,-71.008,8.32,2.56,,,,,,,
01/05/2014,22:20:45,20.0883,-70.636,97.88,3.39,,,,,,,    
09/06/2014,03:30:02,20.085,-70.556,49.56,2.93,,,,,,,
07/05/2014,19:09:55,20.0843,-70.986,2.32,2.83,,,,,,,
25/06/2014,08:09:11,20.0828,-71.141,3,3.28,,,,,,,
23/01/2014,01:02:32,20.0777,-70.864,3,3.4,,,,,,,
24/03/2014,13:31:26,20.0712,-71.119,101.9,3.82,,,,,,,
17/01/2014,21:21:53,20.0693,-70.135,35.45,3.69,,,,,,,
29/11/2014,09:33:00,20.069,-70.192,10,3.71,,,,,,,
08/07/2014,06:24:32,20.0683,-70.689,71.36,2.73,,,,,,,
03/12/2014,23:04:00,20.0541,-70.4541,4,3.3,,,,,,,
14/01/2014,12:26:23,20.0517,-71.031,1,3.39,,,,,,,    
20/11/2014,19:42:00,20.0496,-70.9725,40.86,3.16,,,,,,,
21/03/2014,22:19:04,20.0492,-70.368,24.49,3.36,,,,,,,
11/07/2014,01:19:36,20.0411,-70.369,20.5,2.98,,,,,,,
19/08/2014,15:51:37,20.0306,-71.05,121.53,3.57,,,,,,,
30/11/2014,08:48:00,20.0285,-70.8001,4.95,2.6,,,,,,,
16/06/2014,06:38:33,20.027,-71.264,15.63,2.07,,,,,,,    
02/06/2014,04:08:30,20.0205,-71.163,36.78,2.68,,,,,,,
26/09/2014,23:26:00,20.0143,-71.0196,10,2.52,,,,,,,    
15/07/2014,20:31:34,19.9983,-70.22,10.76,3.51,,,,,,,
15/07/2014,21:37:24,19.9966,-70.208,10.72,3.37,,,,,,,
01/01/2014,05:48:04,19.9948,-70.203,50.69,3.11,,,,,,,
14/03/2014,11:54:01,19.9933,-70.785,107.71,3.63,,,,,,,
22/01/2014,00:43:12,19.9902,-70.948,101.79,3.56,,,,,,,    
30/09/2014,11:01:00,19.9896,-71.2175,30.75,3.12,,,,,,,
30/09/2014,11:01:00,19.9896,-71.2175,30.75,3.12,,,,,,,
15/07/2014,17:16:56,19.9866,-70.175,10.44,3.37,,,,,,,
23/03/2014,20:49:35,19.9858,-70.973,110.51,3.5,,,,,,,
02/06/2014,08:56:04,19.9843,-71.174,36.5,2.73,,,,,,,
02/03/2014,20:05:12,19.9825,-71.094,61.73,3.55,,,,,,,
04/06/2014,01:31:19,19.9751,-71.215,28.5,2.98,,,,,,,
05/06/2014,04:15:18,19.9726,-72.668,89.89,3.41,,,,,,,
02/06/2014,05:20:08,19.9715,-71.233,23.87,3.17,,,,,,,    
24/03/2014,13:31:23,19.9642,-71.372,99.88,4.03,,,,,,,
